Year,Make,Model,Styling,Acceleration,Handling,Fun Factor,Cool Factor,Features,Comfort,Quality,Practicality,Value
2020,McLaren,Speedtail,8,10,10,10,10,7,4,7,2,6
1994,McLaren,F1,8,9,10,10,10,2,3,9,3,10
2022,Lucid,Air Dream Edition,7,10,6,7,8,9,8,7,5,6
2022,GMC,Hummer EV Pickup,5,9,4,9,7,9,7,7,9,7
2021,Rivian,R1T,7,9,5,9,7,7,6,6,9,8
2021,Tesla,Model S Plaid,6,10,6,8,7,9,7,6,7,7
2019,Bugatti,Divo,8,10,9,10,10,6,5,7,1,7
2021,Bugatti,Chiron Pur Sport,9,10,9,10,10,6,5,7,1,6
2018,Bugatti,Chiron,9,10,9,10,10,6,5,7,1,6
2020,Ferrari,Monza SP1,9,10,10,10,10,5,2,8,1,7
2021,Mercedes,AMG E63 Wagon,7,9,6,7,6,9,7,7,8,6
2021,Rimac,Nevera,7,10,10,10,10,7,3,6,2,7
2021,Koenigsegg,Regera,8,10,10,10,10,6,3,8,1,6
2021,McLaren,Sabre,8,10,10,10,9,6,3,8,2,6
2021,Ferrari,SF90 Stradale,8,10,10,9,9,6,4,8,2,6
2021,Audi,RS6 Avant,7,8,6,7,7,9,7,8,8,5
2020,Porsche,Taycan Turbo S,7,10,6,8,8,8,7,8,5,5
2015,Ferrari,LaFerrari,9,10,10,10,10,6,3,7,1,6
2019,Ferrari,488 Pista,8,10,10,10,8,6,4,8,2,6
2018,Koenigsegg,Agera RS1,8,10,10,10,10,6,3,8,1,6
2019,Mercedes-Benz,GT63S 4-Door,7,9,7,8,6,9,7,7,6,6
2018,Mercedes-Benz,E63S AMG Wagon,7,9,6,7,6,9,7,7,8,6
2015,Porsche,918 Spyder,8,10,10,10,10,6,3,8,1,6
2022,Tesla,Model X Plaid,5,10,5,7,6,9,7,6,9,7
2022,Porsche,Taycan GTS Sport Turismo,7,9,6,8,7,8,7,8,6,5
2021,Porsche,Taycan Turbo CrossTurismo,7,9,6,8,7,8,7,8,6,5
2022,Audi,RS E-Tron GT,7,9,6,8,7,8,7,8,5,6
2020,Ferrari,812 GTS,8,10,9,9,9,6,5,8,2,5
2018,Ferrari,812 Superfast,8,10,9,9,8,6,5,8,2,6
2020,Ferrari,F8 Tributo,9,10,9,9,8,6,4,8,2,6
2020,Lamborghini,Huracan Evo Spyder,8,10,10,9,8,6,4,8,2,6
2014,McLaren,P1,8,10,10,10,10,6,3,7,1,6
2019,McLaren,Senna,7,10,10,10,10,6,2,8,1,7
2019,Lamborghini,Urus,6,8,6,7,7,8,7,8,8,6
2015,Ferrari,458 Speciale A,8,9,10,10,8,6,4,8,2,6
2018,Porsche,911 GT2RS,7,10,10,10,9,6,3,8,2,6
2015,Lamborghini,Huracan,8,10,9,9,8,6,4,8,2,7
2005,Porsche,Carrera GT,9,9,10,10,10,3,3,9,1,7
2020,McLaren,Elva,9,10,10,10,10,5,2,7,1,6
2022,Porsche,Cayenne Turbo GT,7,9,6,6,6,8,6,8,8,6
2015,Ferrari,F12 Berlinetta,8,9,9,9,8,6,5,7,2,7
2021,Ferrari,Roma,8,9,8,8,7,7,5,8,3,7
2021,McLaren,765LT,8,10,10,9,9,6,3,7,2,6
2019,Aston Martin,Vanquish Shooting Brake,9,8,7,8,9,6,5,8,4,6
2021,Audi,RS7,7,9,6,7,6,9,7,8,6,5
2021,Lamborghini ,Centenario,9,10,9,10,10,6,3,7,1,5
2020,Porsche,Cayenne Turbo S Coupe,7,8,6,6,6,8,7,8,8,6
2019,Ford,GT,8,10,10,10,10,6,2,7,1,6
2019,McLaren,720S Spider,8,10,9,10,8,6,4,7,2,6
2016,Ferrari,488 Spider,9,9,9,9,8,6,4,8,2,6
2019,Lamborghini,Aventador SVJ,8,10,9,10,9,6,3,7,2,6
2018,Lamborghini,Huracan Performante,8,10,10,9,8,6,3,8,2,6
2022,Maserati ,MC20,9,10,8,8,8,6,4,7,2,7
2018,BMW,M5,7,10,6,7,6,8,7,7,5,6
2020,Audi,RSQ8,7,8,5,6,6,8,7,8,8,6
2021,Porsche,911 Turbo S (992),7,10,8,8,7,7,5,8,3,6
2005,Pagani,Zonda S Roadster,9,9,10,10,10,4,3,7,1,6
2017,Pagani,Huayra Roadster,9,9,10,9,10,5,3,7,1,6
2012,Pagani,Huayra,9,9,10,9,10,5,3,7,1,6
2008,Koenigsegg,CCX,8,9,10,10,10,4,3,7,1,7
2019,Porsche,Cayenne Turbo,7,8,6,6,5,8,7,8,8,6
2019,Aston Martin,DBS Superleggera,8,9,7,8,8,6,5,8,4,6
2019,Bentley,Continental GT,7,8,6,6,7,8,8,9,4,6
2018,Ferrari,Portofino,8,9,8,8,7,6,6,8,3,6
2017,McLaren,720S,8,10,9,9,8,6,4,7,2,6
2018,BMW,M760i,6,8,6,5,6,9,9,8,6,6
2017,Audi,R8 V10 Plus,7,10,8,9,7,7,5,8,2,6
2022,Acura,NSX Type S,8,10,8,8,7,6,5,8,2,6
2021,Ford,Mustang Mach-E GT,6,8,6,6,5,8,6,7,9,7
2022,Cadillac,CT5-V Blackwing,6,8,6,8,7,8,7,6,5,7
2022,Porsche,911 GT3 Touring,7,9,9,9,8,6,4,8,2,6
2021,BMW,Alpina XB7,6,8,5,5,5,9,8,8,9,5
2022,Porsche,911 GT3,7,9,9,9,8,6,4,8,2,6
2021,BMW,M3,6,7,7,8,6,8,7,7,5,7
2021,Dodge,Ram TRX,7,8,4,8,6,7,6,6,8,8
2014,Bugatti ,Veyron Vitesse,8,10,8,10,10,4,4,7,1,6
2014,Audi,RS7,7,8,6,7,6,7,7,8,6,6
2020,BMW,X5M Competition,7,8,6,7,5,8,6,7,8,6
2021,Bentley,Bentayga V8,5,7,5,6,6,8,9,8,8,6
2016,McLaren,675LT,7,10,10,9,8,6,3,6,2,7
2020,Tesla,Model Y Performance,5,9,5,6,6,9,6,6,9,7
2020,Rolls-Royce,Cullinan Black Badge,6,6,4,5,7,10,10,9,6,5
2019,Audi,RS5 Sportback,7,8,6,7,5,8,7,7,7,6
2019,Rolls-Royce,Cullinan,6,6,4,5,7,9,10,9,7,5
2017,Ford,GT,8,10,10,10,10,5,2,6,1,6
2018,Porsche,Panamera Turbo Sport Turismo,6,8,6,6,6,7,7,9,8,5
2018,Rolls-Royce,Phantom,6,5,5,6,8,9,10,9,5,5
2020,Audi,R8 Decennium,7,10,8,9,7,7,5,8,2,5
2020,Bentley,Flying Spur W12,7,8,5,5,6,8,9,9,5,6
2022,Porsche,Cayman GT4RS,6,9,9,9,8,6,3,8,2,7
2022,Porsche,911 GTS Coupe,7,9,8,8,6,7,4,9,3,6
2021,Mecedes-AMG,GT Black Series,7,9,9,9,8,6,3,7,3,6
2018,Mercedes-Benz,AMG GTR,7,9,8,9,7,6,4,7,3,7
2021,Dodge,Durango Hellcat,6,9,5,7,6,7,6,6,9,6
2015,McLaren,650S,7,10,9,9,7,6,4,6,2,7
2021,Porsche,Cayenne GTS,7,7,6,6,5,8,7,8,8,5
2019,Mercedes - Benz,AMG G63,7,7,5,6,6,7,8,7,9,5
2011,Ferrari,599 GTO,8,9,9,9,8,5,4,7,2,6
2020,Porsche,911 991 Speedster,7,8,8,10,7,6,4,9,2,6
2019,Tesla,Model 3 Performance,5,9,6,6,5,9,7,6,6,8
2020,McLaren,GT,7,9,8,8,7,6,5,7,4,6
2020,Porsche,911 Carrera S,7,9,8,7,6,7,5,9,3,6
2006,Bugatti,Veyron,7,10,8,10,10,4,4,7,1,6
2019,Aston Martin,DB11 AMR,8,9,7,7,7,6,6,8,4,5
2010,Audi,R8 V10,8,8,8,8,7,5,5,8,2,8
2019,Aston Martin,Vantage,7,9,8,8,7,6,6,7,3,6
2017,Ferrari,California T,7,9,8,8,7,6,5,8,3,6
2017,Mercedes-Benz,AMG GT S,7,8,8,8,7,6,6,7,3,7
2005,Ford,GT,9,8,9,10,9,3,4,7,1,7
2017,Lamborghini,Aventador SV,8,10,8,9,9,6,3,7,2,5
2017,Porsche,Panamera Turbo,6,8,6,6,6,7,7,9,6,6
2017,Bentley,Bentayga,5,8,5,6,6,6,9,9,8,5
2020,Porsche,911 C2S Manual,7,8,8,8,6,7,5,9,3,6
2021,Mercedes-Maybach,S580,6,7,5,5,6,9,9,9,5,5
2021,Mercedes - Benz,S580,6,7,5,5,5,9,9,9,5,6
2014,Ferrari,FF,5,9,7,7,7,5,6,7,5,8
2020,Polestar,1,8,7,6,7,7,8,7,7,4,5
2018,Aston Martin,Lagonda Taraf,10,7,6,6,9,5,7,7,5,4
2021,Lexus,LC500 Convertible,8,7,6,6,6,8,6,10,3,6
2020,Porsche,718 Cayman GT4,6,7,9,10,6,6,4,9,2,7
2020,Range Rover,Velar SV Autobiography,7,7,6,6,6,8,6,6,8,6
2020,BMW,M8 Competition,7,9,7,6,6,8,7,7,4,5
2020,BMW,X3M Competition,6,8,6,7,5,7,6,7,8,6
2019,McLaren,600LT,7,10,10,10,7,6,2,6,2,6
2019,Cadillac,CTS-V,7,8,6,7,6,7,7,7,5,6
2018,Jaguar,I-Pace,6,7,5,6,5,8,7,6,9,7
2019,BMW,M850i,7,8,7,6,6,8,7,7,4,6
2018,Rolls-Royce,Dawn,6,7,5,6,7,8,10,9,4,4
2020,Alfa Romeo,Stelvio Quadrifoglio,7,8,6,7,6,6,6,6,8,6
2018,Alfa Romeo,Stelvio Quadrifoglio,7,8,6,7,6,6,6,6,8,6
2017,Acura,NSX,8,9,8,8,7,6,4,8,2,6
2017,Aston Martin,DB11,8,8,7,7,7,6,6,8,4,5
2014,Audi,R8,8,7,8,8,7,5,5,8,2,8
2018,Jeep,Grand Cherokee Trackhawk,6,9,5,7,6,7,6,6,8,6
2018,Lexus,LC 500,8,7,6,6,6,8,6,10,3,6
2020,Audi,SQ7,6,7,5,5,5,9,7,7,9,6
